ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_664,29.57012910948817,-8.403129031474199,2.563548925478161,-3.277928089438286,0.0010457203200530897,0.012014547052976714,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,NA,Enriched at bottom,TRUE
ASV_118,152.16232009051555,-8.94948080936772,2.7384539368093113,-3.268077906687428,0.0010828055541277101,0.012119092932737063,Archaea,Thermoproteota,Nitrososphaeria_2,Nitrosopumilales_2,Nitrosopumilaceae_2,NA,NA,Enriched at bottom,TRUE
ASV_784,23.57134158201418,-9.819354256491769,3.0233118229039646,-3.2478800837222406,0.001162682606050637,0.01272919180469257,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_337,61.41460621290683,-9.2207881832987,2.842925500318393,-3.243415341790004,0.0011810590334250838,0.01272919180469257,Bacteria,Planctomycetota,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_368,42.415220963781486,9.762680198715344,3.0236558104257822,3.2287670326274975,0.001243251286204932,0.012822297617704597,Bacteria,Pseudomonadota,Gammaproteobacteria_2,Pseudomonadales_2,Pseudohongiellaceae_2,Pseudohongiella_2,NA,Enriched at top,TRUE
ASV_789,23.349693990937034,-9.754265938191006,3.0237389804648855,-3.2258954893954948,0.001255792034723646,0.012822297617704597,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_298,67.88098324598684,-9.089125200009265,2.8097369785837523,-3.234866917895866,0.0012169944061878022,0.012822297617704597,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Sphingomonadales_2,Sphingomonadaceae_2,NA,NA,Enriched at bottom,TRUE
ASV_70,151.92928275066802,9.112962161497936,2.841072923542354,3.2075777027699663,0.0013385789462677655,0.012984215778797324,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Unclassified family,NA,NA,Enriched at top,TRUE
ASV_234,77.93905693717844,-8.831216032439848,2.747630484464762,-3.214120705958089,0.0013084465618080122,0.012984215778797324,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_401,49.00334356305894,-8.571892678545185,2.670414399471322,-3.209948493478096,0.0013275875882956573,0.012984215778797324,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_300,63.79858151891462,-9.107449355350864,2.8470259112795673,-3.1989344808096996,0.0013793651297153138,0.0131605000900707,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA,Enriched at bottom,TRUE
