exp,date,water_lab,trt_lab,beads,bioreactor,flow_rate_ml_min,effluent_doc,effluent_sd,effluent_se,effluent_n_vials,influent_doc,influent_sd,influent_se,influent_n_vials,removal_doc,pct_removal,flow_rate_factor
BR15-7,2015-07-17,UCSB intake,ambient,homogeneous,4,4,57.61025326797386,0.08102265201096025,0,1,61.36835511982571,0.7905846650766272,0,1,3.7581018518518476,6.123843216123211,4
BR15-7,2015-07-17,UCSB intake,ambient,mixed,5,4,57.235253267973846,0.5033225352195922,0,1,61.36835511982571,0.7905846650766272,0,1,4.133101851851862,6.73490733747338,4
BR15-7,2015-07-17,UCSB intake,ambient,mixed,6,4,55.82032271241829,0.7169277087030301,0,1,61.36835511982571,0.7905846650766272,0,1,5.548032407407419,9.04054279534546,4
BR15-7,2015-07-17,UCSB intake,ambient,mixed,7,4,56.707475490196074,0.3019935211317463,0,1,61.36835511982571,0.7905846650766272,0,1,4.660879629629633,7.594923508262463,4
BR15-7,2015-07-17,UCSB intake,ambient,mixed,8,4,58.66233660130719,2.094312792889319,0,1,61.36835511982571,0.7905846650766272,0,1,2.706018518518519,4.409468875668644,4
BR15-7,2015-07-17,Goleta Pier,surface,homogeneous,1,4,72.80758082497212,0.6948092719485314,0.49130434782609456,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,8.966666666666683,10.965147270335322,4
BR15-7,2015-07-17,Goleta Pier,surface,homogeneous,2,4,75.61482720178373,0.09428090415820098,0.06666666666666288,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,6.159420289855078,7.532224971541146,4
BR15-7,2015-07-17,Goleta Pier,surface,homogeneous,3,4,70.38149386845039,1.2645938666437762,0.8942028985507307,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,11.392753623188412,13.931957765008221,4
BR15-7,2015-07-17,Goleta Pier,surface,homogeneous,4,4,79.08439241917503,0.9551065508200862,0.6753623188405768,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,2.6898550724637715,3.289366952277735,4
BR15-7,2015-07-17,Goleta Pier,surface,mixed,5,4,66.82352285395766,2.2381466813209014,1.582608695652176,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,14.950724637681148,18.28292536621608,4
BR15-7,2015-07-17,Goleta Pier,surface,mixed,6,4,74.62207357859532,2.158212871273731,1.5260869565217445,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,7.152173913043484,8.746242408130719,4
BR15-7,2015-07-17,Goleta Pier,surface,mixed,7,4,71.40468227424749,0.29309063683964487,0.2072463768115966,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,10.369565217391312,12.680722275618093,4
BR15-7,2015-07-17,Goleta Pier,surface,mixed,8,4,73.7133779264214,2.4799976963354373,1.7536231884058038,2,81.7742474916388,0.6159471440537829,0.30797357202689146,4,8.060869565217402,9.857467127461618,4
BR15-10,2015-09-10,Goleta Pier,surface,homogeneous,1,4,70.84270833333333,0.8123310045773989,0.5744047619047591,2,86.29657738095239,1.0004737752401744,0.5002368876200872,4,15.453869047619051,17.90785859258199,4
BR15-10,2015-09-10,Goleta Pier,surface,mixed,5,4,71.25044642857142,3.1272639191762117,2.2113095238095184,2,86.29657738095239,1.0004737752401744,0.5002368876200872,4,15.046130952380963,17.435373926778684,4
BR15-11,2015-09-23,Goleta Pier,surface,homogeneous,1,4,79.98816635160681,0,0,1,85.01207939508504,1.2019293575307577,0.8498923992171891,2,5.023913043478231,5.909646110560481,4
