	domain	phylum	class	order	family	genus	species
ASV_2017	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rickettsiales_2	Rickettsiaceae_2	NA	NA
ASV_2018	NA	NA	NA	NA	NA	NA	NA
ASV_2019	NA	NA	NA	NA	NA	NA	NA
ASV_2020	Bacteria	Actinomycetota	Acidimicrobiia_2	Microtrichales_2	NA	NA	NA
ASV_2021	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2022	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_2023	Bacteria	Acidobacteriota	Subgroup 26	Incertae Sedis_31	Incertae Sedis_75	Incertae Sedis_112	NA
ASV_2024	Bacteria	Cyanobacteriota	Cyanobacteriia_2	Chloroplast_2	Incertae Sedis_227	Incertae Sedis_497	NA
ASV_2025	NA	NA	NA	NA	NA	NA	NA
ASV_2026	Bacteria	Planctomycetota	OM190	Incertae Sedis_134	Incertae Sedis_372	Incertae Sedis_714	NA
ASV_2027	NA	NA	NA	NA	NA	NA	NA
ASV_2028	NA	NA	NA	NA	NA	NA	NA
ASV_2029	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Enterobacterales_2	Colwelliaceae_2	Thalassotalea_2	NA
ASV_2030	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2031	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Saccharospirillaceae_2	Oleispira_2	NA
ASV_2032	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2033	NA	NA	NA	NA	NA	NA	NA
ASV_2034	Bacteria	Actinomycetota	Acidimicrobiia_2	Microtrichales_2	Microtrichaceae_2	Sva0996 marine group_2	NA
ASV_2035	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_2036	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2037	NA	NA	NA	NA	NA	NA	NA
ASV_2038	Bacteria	Planctomycetota	OM190	Incertae Sedis_134	Incertae Sedis_372	Incertae Sedis_714	NA
ASV_2039	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2040	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella	NA
ASV_2041	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA
ASV_2042	NA	NA	NA	NA	NA	NA	NA
ASV_2043	NA	NA	NA	NA	NA	NA	NA
ASV_2044	NA	NA	NA	NA	NA	NA	NA
ASV_2045	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Caulobacterales_2	Hyphomonadaceae_2	Maricaulis_2	NA
ASV_2046	NA	NA	NA	NA	NA	NA	NA
ASV_2047	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	NA	NA	NA
ASV_2048	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodospirillales_2	AEGEAN-169 marine group_2	Incertae Sedis_812	NA
ASV_2049	NA	NA	NA	NA	NA	NA	NA
ASV_2050	NA	NA	NA	NA	NA	NA	NA
ASV_2051	NA	NA	NA	NA	NA	NA	NA
ASV_2052	NA	NA	NA	NA	NA	NA	NA
ASV_2053	NA	NA	NA	NA	NA	NA	NA
ASV_2054	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Coxiellales_2	Coxiellaceae_2	Coxiella_2	NA
ASV_2055	Bacteria	Actinomycetota	Acidimicrobiia_2	Actinomarinales_2	Incertae Sedis_81	Incertae Sedis_120	NA
ASV_2056	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2057	NA	NA	NA	NA	NA	NA	NA
ASV_2058	Bacteria	Myxococcota	Polyangiia	Nannocystales_2	Nannocystaceae_2	Nannocystis_2	NA
ASV_2059	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2060	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2061	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2062	Bacteria	Myxococcota	NA	NA	NA	NA	NA
ASV_2063	Bacteria	Pseudomonadota	Alphaproteobacteria_2	NA	NA	NA	NA
ASV_2064	Bacteria	NB1-j	Incertae Sedis_36	Incertae Sedis_110	Incertae Sedis_288	Incertae Sedis_623	NA
ASV_2065	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Gammaproteobacteria Incertae Sedis_2	Unknown Family_7	Incertae Sedis_907	NA
ASV_2066	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodospirillales_2	Magnetospiraceae_2	Incertae Sedis_814	NA
ASV_2067	NA	NA	NA	NA	NA	NA	NA
ASV_2068	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2069	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Incertae Sedis_593	NA
ASV_2070	Bacteria	Thermodesulfobacteriota	Desulfuromonadia_2	Bradymonadales_2	Incertae Sedis_483	Incertae Sedis_1008	NA
ASV_2071	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Pseudohongiellaceae_2	Pseudohongiella_2	NA
ASV_2072	NA	NA	NA	NA	NA	NA	NA
ASV_2073	Bacteria	Actinomycetota	Actinobacteria_2	PeM15_2	Incertae Sedis_93	Incertae Sedis_159	NA
ASV_2074	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_2075	NA	NA	NA	NA	NA	NA	NA
ASV_2076	NA	NA	NA	NA	NA	NA	NA
ASV_2077	Bacteria	Actinomycetota	Acidimicrobiia_2	Microtrichales_2	Microtrichaceae_2	Sva0996 marine group_2	NA
ASV_2078	NA	NA	NA	NA	NA	NA	NA
ASV_2079	NA	NA	NA	NA	NA	NA	NA
ASV_2080	NA	NA	NA	NA	NA	NA	NA
ASV_2081	Bacteria	Acidobacteriota	AT-s3-28	Incertae Sedis_17	Incertae Sedis_57	Incertae Sedis_91	NA
ASV_2082	NA	NA	NA	NA	NA	NA	NA
ASV_2083	NA	NA	NA	NA	NA	NA	NA
ASV_2084	NA	NA	NA	NA	NA	NA	NA
ASV_2085	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Thalassobaculales_2	Nisaeaceae_2	OM75 clade_2	NA
ASV_2086	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2087	NA	NA	NA	NA	NA	NA	NA
ASV_2088	Bacteria	Rhodothermota	Rhodothermia_2	Rhodothermales_2	Rhodothermaceae_2	Incertae Sedis_977	NA
ASV_2089	NA	NA	NA	NA	NA	NA	NA
ASV_2090	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2091	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rickettsiales_2	Rickettsiaceae_2	Candidatus Megaira_2	NA
ASV_2092	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Sphingomonadales_2	Sphingomonadaceae_2	NA	NA
ASV_2093	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	NA
ASV_2094	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA	NA
ASV_2095	NA	NA	NA	NA	NA	NA	NA
ASV_2096	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella	NA
ASV_2097	NA	NA	NA	NA	NA	NA	NA
ASV_2098	Bacteria	Patescibacteria	Gracilibacteria	Incertae Sedis_123	Incertae Sedis_313	Incertae Sedis_649	NA
ASV_2099	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2100	NA	NA	NA	NA	NA	NA	NA
ASV_2101	Bacteria	NB1-j	Incertae Sedis_36	Incertae Sedis_110	Incertae Sedis_288	Incertae Sedis_623	NA
ASV_2102	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Spongiibacteraceae_2	Dasania_2	NA
ASV_2103	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2104	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV_2105	NA	NA	NA	NA	NA	NA	NA
ASV_2106	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Incertae Sedis_743	NA
ASV_2107	NA	NA	NA	NA	NA	NA	NA
ASV_2108	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2109	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2110	NA	NA	NA	NA	NA	NA	NA
ASV_2111	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA
ASV_2112	NA	NA	NA	NA	NA	NA	NA
ASV_2113	Bacteria	Chloroflexota	Anaerolineae_2	Aggregatilineales	Aggregatilineaceae	Incertae Sedis_416	NA
ASV_2114	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2115	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2116	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Granulosicoccales_2	Incertae Sedis_434	Incertae Sedis_909	NA
ASV_2117	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	Incertae Sedis_79	Incertae Sedis_116	NA
ASV_2118	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	OM27 clade_2	NA
ASV_2119	NA	NA	NA	NA	NA	NA	NA
ASV_2120	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Hyphomicrobiales	NA	NA	NA
ASV_2121	Bacteria	Pseudomonadota	Gammaproteobacteria_2	JTB23_2	Incertae Sedis_442	Incertae Sedis_919	NA
ASV_2122	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Incertae Sedis_535	NA
ASV_2123	NA	NA	NA	NA	NA	NA	NA
ASV_2124	NA	NA	NA	NA	NA	NA	NA
ASV_2125	NA	NA	NA	NA	NA	NA	NA
ASV_2126	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	NA	NA	NA
ASV_2127	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Incertae Sedis_331	NA
ASV_2128	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	Rubritaleaceae_2	Roseibacillus_2	NA
ASV_2129	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales_2	Rubritaleaceae_2	Roseibacillus_2	NA
ASV_2130	NA	NA	NA	NA	NA	NA	NA
ASV_2131	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Cellvibrionaceae_2	NA	NA
ASV_2132	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2133	NA	NA	NA	NA	NA	NA	NA
ASV_2134	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Enterobacterales_2	Pseudoalteromonadaceae_2	NA	NA
ASV_2135	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2136	NA	NA	NA	NA	NA	NA	NA
ASV_2137	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2138	NA	NA	NA	NA	NA	NA	NA
ASV_2139	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Incertae Sedis_742	NA
ASV_2140	NA	NA	NA	NA	NA	NA	NA
ASV_2141	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2142	Bacteria	Myxococcota	Polyangiia	Nannocystales_2	Nannocystaceae_2	Incertae Sedis_612	NA
ASV_2143	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodobacterales_2	Paracoccaceae	NA	NA
ASV_2144	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV_2145	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2146	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2147	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Steroidobacterales_2	Woeseiaceae_2	Woeseia_2	NA
ASV_2148	NA	NA	NA	NA	NA	NA	NA
ASV_2149	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2150	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	Candidatus Fritschea	NA
ASV_2151	NA	NA	NA	NA	NA	NA	NA
ASV_2152	NA	NA	NA	NA	NA	NA	NA
ASV_2153	Bacteria	Actinomycetota	Acidimicrobiia_2	NA	NA	NA	NA
ASV_2154	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	NA	NA
ASV_2155	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Salinisphaerales_2	Nevskiaceae	Oceanococcus_2	NA
ASV_2156	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Salinisphaerales_2	Nevskiaceae	Panacagrimonas_2	NA
ASV_2157	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Incertae Sedis_80	Incertae Sedis_117	NA
ASV_2158	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Saccharospirillaceae_2	Oleibacter_2	NA
ASV_2159	NA	NA	NA	NA	NA	NA	NA
ASV_2160	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2161	NA	NA	NA	NA	NA	NA	NA
ASV_2162	Bacteria	Planctomycetota	Pla3 lineage	Incertae Sedis_135	Incertae Sedis_383	Incertae Sedis_737	NA
ASV_2163	NA	NA	NA	NA	NA	NA	NA
ASV_2164	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2165	NA	NA	NA	NA	NA	NA	NA
ASV_2166	NA	NA	NA	NA	NA	NA	NA
ASV_2167	NA	NA	NA	NA	NA	NA	NA
ASV_2168	NA	NA	NA	NA	NA	NA	NA
ASV_2169	NA	NA	NA	NA	NA	NA	NA
ASV_2170	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	OM27 clade_2	NA
ASV_2171	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2172	NA	NA	NA	NA	NA	NA	NA
ASV_2173	NA	NA	NA	NA	NA	NA	NA
ASV_2174	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Incertae Sedis_742	NA
ASV_2175	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_2176	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2177	Bacteria	Actinomycetota	Acidimicrobiia_2	NA	NA	NA	NA
ASV_2178	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2179	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV_2180	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_2181	Bacteria	Latescibacterota	Incertae Sedis_30	Incertae Sedis_102	Incertae Sedis_269	Incertae Sedis_592	NA
ASV_2182	NA	NA	NA	NA	NA	NA	NA
ASV_2183	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV_2184	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	NA
ASV_2185	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	NA
ASV_2186	NA	NA	NA	NA	NA	NA	NA
ASV_2187	NA	NA	NA	NA	NA	NA	NA
ASV_2188	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peribacteria	Incertae Sedis_312	Incertae Sedis_648	NA
ASV_2189	NA	NA	NA	NA	NA	NA	NA
ASV_2190	NA	NA	NA	NA	NA	NA	NA
ASV_2191	NA	NA	NA	NA	NA	NA	NA
ASV_2192	NA	NA	NA	NA	NA	NA	NA
ASV_2193	Bacteria	Planctomycetota	OM190	Incertae Sedis_134	Incertae Sedis_372	Incertae Sedis_714	NA
ASV_2194	NA	NA	NA	NA	NA	NA	NA
ASV_2195	NA	NA	NA	NA	NA	NA	NA
ASV_2196	Bacteria	Gemmatimonadota	BD2-11 terrestrial group	Incertae Sedis_95	Incertae Sedis_260	Incertae Sedis_571	NA
ASV_2197	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Incertae Sedis_331	NA
ASV_2198	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Flammeovirga	NA
ASV_2199	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Kiloniellales_2	Kiloniellaceae_2	Kiloniella_2	NA
ASV_2200	NA	NA	NA	NA	NA	NA	NA
ASV_2201	NA	NA	NA	NA	NA	NA	NA
ASV_2202	NA	NA	NA	NA	NA	NA	NA
ASV_2203	NA	NA	NA	NA	NA	NA	NA
ASV_2204	NA	NA	NA	NA	NA	NA	NA
ASV_2205	NA	NA	NA	NA	NA	NA	NA
ASV_2206	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella	NA
ASV_2207	Bacteria	Pseudomonadota	Gammaproteobacteria_2	SZB50_2	Incertae Sedis_462	Incertae Sedis_966	NA
ASV_2208	NA	NA	NA	NA	NA	NA	NA
ASV_2209	NA	NA	NA	NA	NA	NA	NA
ASV_2210	NA	NA	NA	NA	NA	NA	NA
ASV_2211	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Defluviicoccales_2	Incertae Sedis_395	Incertae Sedis_764	NA
ASV_2212	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	OM27 clade_2	NA
ASV_2213	Bacteria	Pseudomonadota	Gammaproteobacteria_2	EC3_2	Incertae Sedis_425	Incertae Sedis_876	NA
ASV_2214	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2215	NA	NA	NA	NA	NA	NA	NA
ASV_2216	NA	NA	NA	NA	NA	NA	NA
ASV_2217	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales_2	Puniceicoccaceae_2	NA	NA
ASV_2218	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Hyphomicrobiales	NA	NA	NA
ASV_2219	NA	NA	NA	NA	NA	NA	NA
ASV_2220	NA	NA	NA	NA	NA	NA	NA
ASV_2221	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2222	NA	NA	NA	NA	NA	NA	NA
ASV_2223	NA	NA	NA	NA	NA	NA	NA
ASV_2224	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2225	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2226	NA	NA	NA	NA	NA	NA	NA
ASV_2227	Bacteria	Planctomycetota	BD7-11	Incertae Sedis_132	Incertae Sedis_368	Incertae Sedis_708	NA
ASV_2228	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2229	NA	NA	NA	NA	NA	NA	NA
ASV_2230	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Nitrincolaceae_2	Incertae Sedis_948	NA
ASV_2231	NA	NA	NA	NA	NA	NA	NA
ASV_2232	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	Oleiphilaceae_2	Oleiphilus_2	NA
ASV_2233	NA	NA	NA	NA	NA	NA	NA
ASV_2234	NA	NA	NA	NA	NA	NA	NA
ASV_2235	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_2236	NA	NA	NA	NA	NA	NA	NA
ASV_2237	NA	NA	NA	NA	NA	NA	NA
ASV_2238	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Rhodospirillales_2	Magnetospiraceae_2	Incertae Sedis_814	NA
ASV_2239	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2240	NA	NA	NA	NA	NA	NA	NA
ASV_2241	Bacteria	Actinomycetota	Acidimicrobiia_2	Microtrichales_2	Microtrichaceae_2	Sva0996 marine group_2	NA
ASV_2242	NA	NA	NA	NA	NA	NA	NA
ASV_2243	Bacteria	Cyanobacteriota	Cyanobacteriia_2	Chloroplast_2	Incertae Sedis_227	Incertae Sedis_497	NA
ASV_2244	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA	NA
ASV_2245	NA	NA	NA	NA	NA	NA	NA
ASV_2246	NA	NA	NA	NA	NA	NA	NA
ASV_2247	NA	NA	NA	NA	NA	NA	NA
ASV_2248	Bacteria	Actinomycetota	Acidimicrobiia_2	Microtrichales_2	NA	NA	NA
ASV_2249	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Incertae Sedis_535	NA
ASV_2250	Bacteria	Pseudomonadota	Gammaproteobacteria_2	SZB50_2	Incertae Sedis_462	Incertae Sedis_966	NA
ASV_2251	NA	NA	NA	NA	NA	NA	NA
ASV_2252	Bacteria	Planctomycetota	OM190	Incertae Sedis_134	Incertae Sedis_372	Incertae Sedis_714	NA
ASV_2253	Bacteria	Pseudomonadota	Gammaproteobacteria_2	JTB23_2	Incertae Sedis_442	Incertae Sedis_919	NA
ASV_2254	NA	NA	NA	NA	NA	NA	NA
ASV_2255	NA	NA	NA	NA	NA	NA	NA
ASV_2256	Bacteria	Verrucomicrobiota	Lentisphaeria	SS1-B-02-17	Incertae Sedis_496	Incertae Sedis_1036	NA
ASV_2257	Bacteria	Planctomycetota	BD7-11	Incertae Sedis_132	Incertae Sedis_368	Incertae Sedis_708	NA
ASV_2258	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Nitrosococcales_2	Nitrosococcaceae_2	NA	NA
ASV_2259	NA	NA	NA	NA	NA	NA	NA
ASV_2260	NA	NA	NA	NA	NA	NA	NA
ASV_2261	NA	NA	NA	NA	NA	NA	NA
ASV_2262	NA	NA	NA	NA	NA	NA	NA
ASV_2263	NA	NA	NA	NA	NA	NA	NA
ASV_2264	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2265	NA	NA	NA	NA	NA	NA	NA
ASV_2266	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_2267	Bacteria	Planctomycetota	Planctomycetes	Incertae Sedis_137	Incertae Sedis_385	Incertae Sedis_740	NA
ASV_2268	NA	NA	NA	NA	NA	NA	NA
ASV_2269	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Incertae Sedis_742	NA
ASV_2270	NA	NA	NA	NA	NA	NA	NA
ASV_2271	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Sphingomonadales_2	Sphingomonadaceae_2	NA	NA
ASV_2272	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
ASV_2273	NA	NA	NA	NA	NA	NA	NA
ASV_2274	NA	NA	NA	NA	NA	NA	NA
ASV_2275	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	NA	NA	NA
ASV_2276	NA	NA	NA	NA	NA	NA	NA
ASV_2277	NA	NA	NA	NA	NA	NA	NA
ASV_2278	NA	NA	NA	NA	NA	NA	NA
ASV_2279	Bacteria	Latescibacterota	Incertae Sedis_30	Incertae Sedis_102	Incertae Sedis_269	Incertae Sedis_592	NA
ASV_2280	NA	NA	NA	NA	NA	NA	NA
ASV_2281	NA	NA	NA	NA	NA	NA	NA
ASV_2282	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2283	NA	NA	NA	NA	NA	NA	NA
ASV_2284	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2285	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2286	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2287	Bacteria	Planctomycetota	Pla3 lineage	Incertae Sedis_135	Incertae Sedis_383	Incertae Sedis_737	NA
ASV_2288	NA	NA	NA	NA	NA	NA	NA
ASV_2289	NA	NA	NA	NA	NA	NA	NA
ASV_2290	NA	NA	NA	NA	NA	NA	NA
ASV_2291	NA	NA	NA	NA	NA	NA	NA
ASV_2292	NA	NA	NA	NA	NA	NA	NA
ASV_2293	NA	NA	NA	NA	NA	NA	NA
ASV_2294	NA	NA	NA	NA	NA	NA	NA
ASV_2295	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NS10 marine group	NA
ASV_2296	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Puniceispirillales_2	Incertae Sedis_406	Incertae Sedis_808	NA
ASV_2297	NA	NA	NA	NA	NA	NA	NA
ASV_2298	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA	NA
ASV_2299	NA	NA	NA	NA	NA	NA	NA
ASV_2300	NA	NA	NA	NA	NA	NA	NA
ASV_2301	Bacteria	Pseudomonadota	Alphaproteobacteria_2	Kiloniellales_2	Kiloniellaceae_2	Incertae Sedis_791	NA
ASV_2302	NA	NA	NA	NA	NA	NA	NA
ASV_2303	NA	NA	NA	NA	NA	NA	NA
ASV_2304	NA	NA	NA	NA	NA	NA	NA
ASV_2305	Bacteria	NA	NA	NA	NA	NA	NA
ASV_2306	NA	NA	NA	NA	NA	NA	NA
ASV_2307	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2308	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2309	NA	NA	NA	NA	NA	NA	NA
ASV_2310	NA	NA	NA	NA	NA	NA	NA
ASV_2311	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2312	NA	NA	NA	NA	NA	NA	NA
ASV_2313	NA	NA	NA	NA	NA	NA	NA
ASV_2314	Bacteria	Planctomycetota	BD7-11	Incertae Sedis_132	Incertae Sedis_368	Incertae Sedis_708	NA
ASV_2315	NA	NA	NA	NA	NA	NA	NA
ASV_2316	NA	NA	NA	NA	NA	NA	NA
ASV_2317	Bacteria	Pseudomonadota	Gammaproteobacteria_2	Pseudomonadales_2	KI89A clade_2	Incertae Sedis_945	NA
ASV_2318	NA	NA	NA	NA	NA	NA	NA
ASV_2319	NA	NA	NA	NA	NA	NA	NA
ASV_2320	NA	NA	NA	NA	NA	NA	NA
ASV_2321	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV_2322	NA	NA	NA	NA	NA	NA	NA
ASV_2323	NA	NA	NA	NA	NA	NA	NA
ASV_2324	NA	NA	NA	NA	NA	NA	NA
ASV_2325	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2326	Bacteria	Chloroflexota	Anaerolineae_2	Anaerolineales_2	Anaerolineaceae_2	Incertae Sedis_418	NA
ASV_2327	NA	NA	NA	NA	NA	NA	NA
ASV_2328	NA	NA	NA	NA	NA	NA	NA
ASV_2329	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	NA
ASV_2330	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2331	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_2332	NA	NA	NA	NA	NA	NA	NA
ASV_2333	Bacteria	Pseudomonadota	Gammaproteobacteria_2	NA	NA	NA	NA
ASV_2334	NA	NA	NA	NA	NA	NA	NA
ASV_2335	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_2336	Bacteria	Planctomycetota	OM190	Incertae Sedis_134	Incertae Sedis_372	Incertae Sedis_714	NA
