	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_190	202	0	0	197	0	0	0	0	0	0	0	0	0	0	106	197	189	0
ASV_191	0	0	0	0	172	157	25	0	40	196	128	39	119	0	0	0	0	0
ASV_192	65	0	0	205	0	0	0	0	0	0	0	0	0	0	157	78	362	0
ASV_193	0	295	0	0	0	0	0	0	0	0	0	0	0	0	247	315	0	0
ASV_194	0	0	0	0	0	365	0	44	294	0	0	0	153	0	0	0	0	0
ASV_195	553	0	0	0	68	0	33	0	31	0	40	23	72	0	0	35	0	0
ASV_196	0	0	0	0	134	53	94	92	73	176	95	32	105	0	0	0	0	0
ASV_197	0	0	0	0	0	310	124	253	0	0	0	119	0	47	0	0	0	0
ASV_198	56	0	0	0	51	154	82	76	0	48	56	182	92	51	0	0	0	0
ASV_199	40	345	248	0	0	0	0	0	0	0	0	0	0	0	132	83	0	0
ASV_200	114	0	0	0	175	0	63	45	0	175	99	0	172	0	0	0	0	0
ASV_201	0	0	0	0	56	164	92	0	98	190	69	51	104	0	0	0	0	0
ASV_202	311	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	251	0
ASV_203	0	0	0	0	0	0	209	252	0	102	0	203	0	48	0	0	0	0
ASV_204	0	445	238	0	0	0	0	0	0	0	0	0	0	0	59	71	0	0
ASV_205	0	0	0	0	86	0	14	44	524	46	42	0	57	0	0	0	0	0
ASV_206	0	0	0	0	11	116	152	41	22	49	32	128	54	201	0	0	0	0
ASV_207	0	51	45	203	0	0	0	0	0	0	0	0	0	0	106	0	396	0
ASV_208	0	0	0	0	81	270	0	0	415	0	33	0	0	0	0	0	0	0
ASV_209	28	0	0	0	0	591	0	85	0	0	0	89	0	0	0	0	0	0
ASV_210	0	186	113	0	0	0	0	0	0	0	0	0	0	0	211	276	0	0
ASV_211	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_212	96	0	0	0	0	310	0	0	0	144	0	0	114	120	0	0	0	0
ASV_213	66	0	40	326	0	0	0	0	0	0	0	0	0	0	86	124	141	0
ASV_214	501	0	0	0	246	0	0	0	0	0	0	0	31	0	0	0	0	0
ASV_215	424	0	0	0	101	0	0	0	131	72	0	0	41	0	0	0	0	0
ASV_216	0	0	0	0	117	0	166	218	0	114	74	0	76	0	0	0	0	0
ASV_217	0	0	0	0	0	0	84	590	0	0	0	89	0	0	0	0	0	0
ASV_218	0	125	127	95	0	0	0	0	0	0	0	0	0	0	191	178	44	0
ASV_219	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0
ASV_220	0	0	0	0	0	132	92	341	0	0	0	192	0	0	0	0	0	0
ASV_221	0	0	0	0	184	0	0	0	0	73	107	60	332	0	0	0	0	0
ASV_222	0	0	0	0	129	0	43	0	0	58	78	169	92	187	0	0	0	0
ASV_223	0	0	0	0	0	0	118	442	0	47	40	72	35	0	0	0	0	0
ASV_224	0	0	0	0	0	194	0	186	0	0	0	371	0	0	0	0	0	0
ASV_225	214	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	301	0
ASV_226	170	0	0	0	185	0	15	0	0	33	112	9	198	26	0	0	0	0
ASV_227	147	0	0	34	41	0	0	0	22	0	24	0	35	16	162	240	23	0
